trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,2,10.0,35.768329699996684,36.32093650000024,36.32093650000024,36.33845740000106,36.62141420000262,right,10.0,1,1,16.093037300001015,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,1,2,8.0,52.43876170000294,52.93827109999984,52.93827109999984,52.93827109999984,53.23758909999742,left,-8.0,1,1,1.500264900001639,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,2,1,6.0,54.46980910000275,54.96940390000236,54.96940390000236,54.96940390000236,55.26900719999685,left,-6.0,0,0,1.9883763999969233,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,3,1,7.0,56.98430999999982,57.483698600000935,57.483698600000935,57.483698600000935,57.78346060000331,right,7.0,1,1,1.40193310000177,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,4,1,7.0,58.91572830000223,59.41551479999907,59.41551479999907,59.41551479999907,59.715264400001615,left,-7.0,0,0,2.33413969999674,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,5,1,8.0,61.780072100002144,62.279414099997666,62.279414099997666,62.279414099997666,62.57899570000154,right,8.0,0,0,1.611368499994569,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,6,1,9.0,63.91105029999744,64.41061179999815,64.41061179999815,64.41061179999815,64.71102239999891,right,9.0,1,1,1.4085208999968017,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,7,1,9.0,65.8425442000007,66.3419911000019,66.3419911000019,66.3419911000019,66.64174259999709,right,9.0,1,1,1.1508714000010514,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,8,1,9.0,67.52424440000323,68.0070635000011,68.0070635000011,68.0240174999999,68.30683190000127,left,-9.0,0,0,0.7851593000013963,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,9,1,10.0,68.82325600000331,69.32244399999763,69.32244399999763,69.33950390000246,69.62211229999957,right,10.0,1,1,0.3905008999936399,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
