trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,19.60311579995323,20.653187399962917,20.657615300035104,up,1,2.680034999968484,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
1,0,1,0,23.358779400005005,24.347978699952364,24.364620200009085,down,0,1.4306645999895409,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
2,0,2,0,25.812968999962322,26.812707999954,26.812707999954,up,1,0.991740999976173,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
3,0,3,0,27.84064509999007,28.843944899970666,28.843944899970666,up,0,0.5968612999422476,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
4,0,4,0,29.461533699999563,30.459065999952145,30.475373400026,down,1,1.7541482000378892,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
5,0,5,0,32.24055039999075,33.239544600015506,33.239544600015506,up,0,0.594568399945274,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
6,0,6,0,33.86460089997854,34.85468089999631,34.87137529999018,up,0,0.5342158999992535,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
7,0,7,0,35.42550240003038,36.419735300005414,36.43639379995875,up,1,0.36626559996511787,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
8,0,8,0,36.8027833000524,37.80182809999678,37.818365399958566,up,1,0.3335499999811873,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
9,0,9,0,38.16808279999532,39.16770930006169,39.16770930006169,down,1,0.16035489994101226,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
10,0,10,0,39.35051719995681,40.34961110004224,40.34961110004224,up,0,0.009404200012795627,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
11,0,11,0,40.38570049998816,41.381840000045486,41.398456100025214,up,1,0.27947529999073595,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
12,0,12,0,41.682813900057226,42.68089059996419,42.69747410004493,up,0,0.2752230999758467,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
13,0,13,0,42.9801301000407,43.97966730000917,43.97966730000917,up,0,0.29892430000472814,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
14,0,14,0,44.29555200005416,45.29512350005098,45.29512350005098,up,1,0.11669309996068478,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
15,0,15,0,45.433458099956624,46.42718760005664,46.44386200001463,down,1,0.1895183000015095,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
16,0,16,0,46.64363850001246,47.64283140003681,47.64283140003681,up,0,0.11649609997402877,None,-2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
17,0,17,0,47.775888100033626,48.77533470001072,48.77533470001072,down,1,0.8530222000554204,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
18,0,18,0,49.658484300016426,50.657353200018406,50.67404059995897,up,0,0.6226735000964254,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
19,0,19,0,51.30661460000556,52.30585400003474,52.30585400003474,down,0,0.31834350002463907,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
20,0,20,0,52.655447700060904,53.65462469996419,53.65462469996419,down,0,0.35564700001850724,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
21,0,21,0,54.03730790002737,55.036601300002076,55.036601300002076,down,1,0.14385009999386966,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
22,0,22,0,55.20300139999017,56.2022156000603,56.2022156000603,down,1,0.1884361000265926,None,-2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
23,0,23,0,56.41840520000551,57.41798749996815,57.41798749996815,down,0,0.013082699966616929,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
24,0,24,0,57.466673900024034,58.46674669999629,58.46674669999629,down,0,0.11205859994515777,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
